signal_id,symbol,action,signal_time,entry_price,stop_loss,target1,target2,target3,status,outcome,hit_target1,hit_target2,hit_target3,hit_stop_loss,target1_time,target2_time,target3_time,stop_loss_time,target1_minutes,target2_minutes,target3_minutes,stop_loss_minutes,max_profit_pct,max_drawdown_pct,final_outcome
1423309067362766908,LTC,SHORT,2025-10-02 14:02:05.463000+00:00,118.61,120.57,116.61,114.49,113.06,CLOSED,ONGOING,True,False,False,False,2025-10-03 06:51:00+00:00,,,,1008.9089499999999,,,,1.8548183121153385,-1.3320967877919216,TARGET1
1423279510031433802,ZEC,SHORT,2025-10-02 12:04:38.446000+00:00,141.92,144.59,136.83,134.8,130.93,CLOSED,ONGOING,False,False,False,True,,,,2025-10-02 12:15:00+00:00,,,,10.359233333333332,1.9588500563697868,-2.1490980834272913,STOP_LOSS
1421165223317868626,BNB,LONG,2025-09-26 16:03:13.212000+00:00,942.68,932.216,955.064,967.286,988.272,CLOSED,ONGOING,True,False,False,False,2025-09-26 16:59:00+00:00,,,,55.7798,,,,1.3610132812831546,0.0,TARGET1
1421161084261503038,AVAX,LONG,2025-09-26 15:46:46.384000+00:00,27.836,27.527,28.1565,28.9182,29.566,CLOSED,ONGOING,True,False,False,False,2025-09-26 16:19:00+00:00,,,,32.226933333333335,,,,1.1998850409541717,-0.41672654116970714,TARGET1
1421134755524640769,ETH,LONG,2025-09-26 14:02:09.124000+00:00,3968.87,3913.54,4024.86,4074.39,4223.89,CLOSED,ONGOING,True,False,False,False,2025-09-26 17:26:00+00:00,,,,203.84793333333334,,,,1.5006790345866694,-1.1789249836855318,TARGET1
1421115805306982531,DOT,LONG,2025-09-26 12:46:51.040000+00:00,3.87,3.843,3.898,4.018,4.137,CLOSED,ONGOING,True,False,False,False,2025-09-26 13:52:00+00:00,,,,65.14933333333333,,,,0.8010335917312582,-0.6718346253230038,TARGET1
1421115801854803968,DASH,LONG,2025-09-26 12:46:50.217000+00:00,20.22,20.15,20.29,20.41,20.72,CLOSED,ONGOING,False,False,False,True,,,,2025-09-26 13:07:00+00:00,,,,20.16305,0.14836795252226082,-0.3461918892185969,STOP_LOSS
1421074359694528533,BCH,LONG,2025-09-26 10:02:09.636000+00:00,542.29,530.57,554.42,565.63,600.48,CLOSED,ONGOING,True,False,False,False,2025-09-28 22:05:00+00:00,,,,3602.8394,,,,2.306883770676205,-1.196776632429145,TARGET1
1421044446740348948,BCH,LONG,2025-09-26 08:03:17.832000+00:00,545.08,540.22,549.25,554.88,569.47,CLOSED,ONGOING,False,False,False,True,,,,2025-09-26 10:07:00+00:00,,,,123.7028,0.0,-0.8952814265795837,STOP_LOSS
1420946002700927113,UNI,LONG,2025-09-26 01:32:06.944000+00:00,7.542,7.49,7.5942,7.6769,7.7652,CLOSED,ONGOING,True,False,False,False,2025-09-26 02:05:00+00:00,,,,32.88426666666667,,,,0.7690267833465902,-0.05303632988596605,TARGET1
1420945998594969702,SUI,LONG,2025-09-26 01:32:05.965000+00:00,3.1609,3.1461,3.1793,3.2381,3.261,CLOSED,ONGOING,False,False,False,True,,,,2025-09-26 03:03:00+00:00,,,,90.90058333333333,0.49985763548356604,-0.5378215065329465,STOP_LOSS
